Frequency,Nominal,Min,Max
250,2.6846258135793914e-8,2.6760253011195788e-8,2.6928012540910898e-8
255.82324807018853,2.684966725772983e-8,2.675969067546009e-8,2.693561871999489e-8
261.7821370127249,2.685324052722517e-8,2.6758710878811322e-8,2.6943586803338458e-8
267.8798263094016,2.685698601230112e-8,2.675769173842838e-8,2.6951934177179964e-8
274.11954903579624,2.6860912192679203e-8,2.6756632044649166e-8,2.6960679078806625e-8
280.50461357549085,2.6865027982136868e-8,2.675553059086258e-8,2.696984063968713e-8
287.03840537422064,2.6869342752189534e-8,2.6754386179141264e-8,2.6979438930923855e-8
293.7243887348823,2.687386635718578e-8,2.675319762662596e-8,2.6989495011161237e-8
300.5661086543532,2.6878609160909188e-8,2.6751963772737605e-8,2.7000030977095005e-8
307.5671927030953,2.6883582064786576e-8,2.6750683487300252e-8,2.7011070016737264e-8
314.7313529485417,2.688879653780976e-8,2.6749355679664763e-8,2.7022636465602212e-8
322.0623879232834,2.6894264648285564e-8,2.6747979308931457e-8,2.7034755865988233e-8
329.56418463910165,2.6899999097536978e-8,2.6746553395377448e-8,2.7047455029544106e-8
337.2407206479133,2.6906013255687434e-8,2.674507703320423e-8,2.7060762103319296e-8
345.0960661507211,2.691232119966923e-8,2.674354940472965e-8,2.707470663951219e-8
353.13438615568845,2.6918937753607934e-8,2.6741969796159403e-8,2.708931966914429e-8
361.35994268648176,2.6925878531744623e-8,2.6740337615083253e-8,2.7104633779903858e-8
369.7770970420517,2.6933159984070144e-8,2.6738652409853376e-8,2.712068319841981e-8
378.3903121090519,2.6940799444857824e-8,2.673691389101392e-8,2.7137503877243385e-8
387.20415472812016,2.694881518429406e-8,2.6735121954964304e-8,2.715513358683519e-8
396.22329811527817,2.6957226463420984e-8,2.673327671005215e-8,2.7173612012875276e-8
405.4525243397323,2.6966053592619774e-8,2.6731378505306648e-8,2.7192980859235785e-8
414.89672685938996,2.6975317993880297e-8,2.672942796203792e-8,2.721328395697939e-8
424.5609131154359,2.6985042267118745e-8,2.6727426008544652e-8,2.7234567379771582e-8
434.45020718734366,2.6995250260824412e-8,2.6725373918188502e-8,2.7256879566121956e-8
444.5698525097305,2.7005967147334982e-8,2.672327335111179e-8,2.7280271448898048e-8
454.92521465249564,2.7017219503061086e-8,2.67211263998932e-8,2.7304796592585914e-8
465.5217841657166,2.702903539400197e-8,2.671893563945512e-8,2.7330511338804237e-8
476.3651794908115,2.704144446691708e-8,2.6716704181556164e-8,2.7357474960613253e-8
487.461149939511,2.705447804654299e-8,2.671443573422271e-8,2.738574982619646e-8
498.81557874221954,2.7068169239269164e-8,2.671213466649376e-8,2.741540157253219e-8
510.434486167382,2.7082553043713704e-8,2.670980607887525e-8,2.7446499289713098e-8
522.3240327135095,2.7097666468666756e-8,2.6707455879921134e-8,2.7479115716614763e-8
534.4905223755576,2.7113548658898293e-8,2.6705090869380395e-8,2.751332744866048e-8
546.9404059873876,2.7130241029356246e-8,2.67027188283712e-8,2.7549215158476327e-8
559.6802846420844,2.7147787408310787e-8,2.6700348617064878e-8,2.7586863830280042e-8
572.7169131919427,2.7166234190031714e-8,2.669799028038372e-8,2.7626363008898483e-8
586.0572038299799,2.71856304976162e-8,2.6695655162237616e-8,2.7667807064359983e-8
599.708229754872,2.7206028356615053e-8,2.6693356028843987e-8,2.7711295473060973e-8
613.677228921257,2.7227482880135208e-8,2.6691107201694183e-8,2.775693311655854e-8
627.9716078773944,2.7250052466124874e-8,2.6688924700746583e-8,2.780483059909223e-8
642.5989456922152,2.7273799007573492e-8,2.6686826398440917e-8,2.785510458498692e-8
657.5669979738448,2.72987881163815e-8,2.6684832185140362e-8,2.790787815713316e-8
672.8837009817282,2.73250893616726e-8,2.6682964146616496e-8,2.7963281197778928e-8
688.5571758345409,2.7352776523331916e-8,2.6681246754195428e-8,2.8021450792895066e-8
704.5957328161127,2.738192786155484e-8,2.667970706818171e-8,2.8082531661389673e-8
721.0078757816507,2.741262640318065e-8,2.667837495516717e-8,2.8146676610442388e-8
737.8023066665955,2.7444960245556856e-8,2.667728331981298e-8,2.8214047018196976e-8
754.9879301005031,2.7479022878630503e-8,2.66764683516623e-8,2.8284813344984576e-8
772.5738581283966,2.7514913525883013e-8,2.6675969787494406e-8,2.8359155674135218e-8
790.5694150420937,2.75527375046078e-8,2.667583118966394e-8,2.8437264283259345e-8
808.9841423240695,2.759260660585975e-8,2.6676100240775166e-8,2.8519340246620423e-8
827.8278037064765,2.7634639494170506e-8,2.667682905491161e-8,2.8605596068850952e-8
847.1103903480051,2.767896212679672e-8,2.6678074505464886e-8,2.8696256349749258e-8
866.8421261313277,2.772570819182674e-8,2.667989856936736e-8,2.8791558479187918e-8
887.0334730839372,2.7775019563872128e-8,2.668236868721059e-8,2.889175336020558e-8
907.6951369252519,2.7827046775266158e-8,2.668555813829563e-8,2.8997106157059528e-8
928.8380727429297,2.7881949499614186e-8,2.6689546429076233e-8,2.910789706327829e-8
950.4734908014013,2.7939897043099324e-8,2.669441969266834e-8,2.9224422082428515e-8
972.6128624856998,2.8001068837023667e-8,2.6700271096040336e-8,2.9346993811203575e-8
995.2679263837414,2.8065654922497383e-8,2.670720125007632e-8,2.9475942210296572e-8
1018.45069451028,2.8133856414763092e-8,2.6715318615793803e-8,2.9611615342991904e-8
1042.1734586758366,2.820588593007217e-8,2.6724739897431863e-8,2.9754380054033557e-8
1066.4487970039797,2.8281967951930332e-8,2.6735590409684052e-8,2.9904622551484075e-8
1091.2895806004128,2.836233910538682e-8,2.6748004401734565e-8,3.006274884113886e-8
1116.7089803774056,2.844724829716749e-8,2.6762125314573404e-8,3.022918494548173e-8
1142.7204740371853,2.853695666492627e-8,2.6778105939790963e-8,3.0404376815647286e-8
1169.3378532179931,2.8631737259485873e-8,2.679610843698783e-8,3.058878981335589e-8
1196.5752308065935,2.873187435801368e-8,2.6816304152162442e-8,3.07829075975738e-8
1224.447048421113,2.8837662271454546e-8,2.6838873159736453e-8,3.098723019404617e-8
1252.9680840681783,2.8949403463319752e-8,2.6864003424646418e-8,3.120227094993432e-8
1282.1534599784097,2.9067405735276186e-8,2.689188944606071e-8,3.142855197398748e-8
1312.018650624429,2.9191978152849468e-8,2.6922730198027365e-8,3.1666597526262935e-8
1342.5794909256292,2.9323425275351032e-8,2.695672612114552e-8,3.191692463886471e-8
1373.8521846440588,2.946203910932363e-8,2.699407483857823e-8,3.2180030005464544e-8
1405.85331297587,2.960808801345321e-8,2.7034965163512427e-8,3.245637185315586e-8
1438.5998433428895,2.9761801531331117e-8,2.707956882614462e-8,3.274634508110489e-8
1472.1091383889695,2.992334979997416e-8,2.7128029167347726e-8,3.3050247386778045e-8
1506.3989651858915,3.009281575713839e-8,2.7180445812536937e-8,3.3368233367833404e-8
1541.4875046537024,3.0270157828097234e-8,2.7236854040653536e-8,3.370025264976956e-8
1577.39336120048,3.045516009305449e-8,2.729719718695624e-8,3.404596691500179e-8
1614.1355725866356,3.0647366108111005e-8,2.73612899537198e-8,3.4404639287166506e-8
1651.7336200189866,3.0845991584893645e-8,2.7428769945920926e-8,3.4774987893141687e-8
1690.207438479951,3.104981007986903e-8,2.7499034110991043e-8,3.515499372409053e-8
1729.5774272973376,3.1257004841616014e-8,2.7571156085354047e-8,3.554165147716956e-8
1769.8644609603411,3.146497930088979e-8,2.764377983591637e-8,3.5930651550496503e-8
1811.0899001874714,3.1670118904121297e-8,2.7714984631947104e-8,3.631598301028429e-8
1853.2756032522898,3.1867499021130236e-8,2.7782116655478495e-8,3.668945321850742e-8
1896.4439375729553,3.2050539005271214e-8,2.784158407141742e-8,3.704013310594893e-8
1940.617791571725,3.221061336275039e-8,2.7888616101642325e-8,3.7353762227288806e-8
1985.8205868106993,3.23366502725294e-8,2.791699398650097e-8,3.7612189784409304e-8
2032.0762904102435,3.2414778339856146e-8,2.79187744775355e-8,3.7792990182589906e-8
2079.409427756673,3.2428125788793074e-8,2.788404653402177e-8,3.786947111871199e-8
2127.845095505936,3.235692848444277e-8,2.780079006777562e-8,3.781137002653784e-8
2177.4089748901965,3.217914976871924e-8,2.764799758678956e-8,3.758656683647004e-8
2228.127345334359,3.187182542841115e-8,2.740448408967611e-8,3.716405578222102e-8
2280.027098389769,3.141327482218617e-8,2.7063029699312312e-8,3.651814068836168e-8
2333.1357519924723,3.078611942071381e-8,2.660855201187244e-8,3.5633331681048525e-8
2387.4814650535845,2.998072089688652e-8,2.6029248596684496e-8,3.4508858895847955e-8
2443.0930523895213,2.8998284996568048e-8,2.531898270894267e-8,3.3161385566230456e-8
2499.9999999999945,2.7852671799218942e-8,2.447942407342743e-8,3.162473433076834e-8
2558.2324807018795,2.6570117747035186e-8,2.3493959967193897e-8,2.994631480696913e-8
2617.821370127243,2.5186657174105742e-8,2.2398337297007578e-8,2.8184872579996506e-8
2678.79826309401,2.3743802224534637e-8,2.1236079735299714e-8,2.6473930136426948e-8
2741.1954903579563,2.2283603514638546e-8,2.0010045853337158e-8,2.487569935904507e-8
2805.046135754902,2.0844287218726214e-8,1.8704622770934054e-8,2.3291157903906187e-8
2870.3840537422,1.9457276663013053e-8,1.746127494228376e-8,2.1749717855108657e-8
2937.2438873488168,1.8145832904223677e-8,1.6297532347974245e-8,2.0298072846550506e-8
3005.661086543525,1.6925079547857965e-8,1.5223719222716935e-8,1.8969701161506288e-8
3075.6719270309463,1.580294967905593e-8,1.4244043318285086e-8,1.7720995487512147e-8
3147.31352948541,1.4781583768360558e-8,1.335796679462752e-8,1.656303605385203e-8
3220.6238792328268,1.3858818886423594e-8,1.2561572645650857e-8,1.5500816884819496e-8
3295.6418463910095,1.3029549959203608e-8,1.1847485056384471e-8,1.4534576263855999e-8
3372.4072064791253,1.2286861024503146e-8,1.1208705144065542e-8,1.3661110203858602e-8
