Frequency,Nominal,Min,Max
250,137106.07087403434,135717.55007789773,139455.87888911492
255.82324807018853,133529.96668663615,132176.34843449132,135857.80799679042
261.7821370127249,130028.74304121979,128709.28652995836,132335.2375267952
267.8798263094016,126600.76851478689,125314.74966602196,128886.49579001116
274.11954903579624,123244.4600923957,121991.17109785009,125509.95909347448
280.50461357549085,119958.28244904832,118737.03132238978,122204.05104996248
287.03840537422064,116740.74722709184,115550.85736208514,118967.2418909776
293.7243887348823,113590.41230540411,112431.22204027958,115798.04777978663
300.5661086543532,110505.88105659238,109376.7432445379,112695.03012108004
307.5671927030953,107485.80158835258,106386.08317407903,109656.79486368282
314.7313529485417,104528.86596514491,103427.55427757408,106681.99179270597
322.0623879232834,101633.8094063659,100522.1368415373,103769.3138074491
329.56418463910165,98799.40945726728,97677.85035013703,100917.49618137337
337.2407206479133,96024.48512897205,94893.54382897679,98125.31580045236
345.0960661507211,93307.8960041157,92168.10673299934,95391.5903762695
353.13438615568845,90648.54130484795,89500.46787073406,92715.1776303473
361.35994268648176,88045.35892020653,86889.59428044668,90094.97444630266
369.7770970420517,85497.32439020445,84334.49005634828,87529.91598664872
378.3903121090519,83003.44984435262,81834.19512359258,85018.97477128281
387.20415472812016,80562.78289281408,79387.78396137913,82561.15971502464
396.22329811527817,78174.40546885549,76994.36427412847,80155.51512191679
405.4525243397323,75837.43262186582,74653.0756114229,77801.11963441293
414.89672685938996,73551.01126080225,72363.08793812548,75497.085136066
424.5609131154359,71314.31884860383,70123.60015690453,73242.55560683801
434.45020718734366,69126.56204881413,67933.83858617034,71036.70593075413
444.5698525097305,66986.975326404,65793.05539726042,68878.74065623616
454.92521465249564,64894.81950553416,63700.527015530264,66767.89271013127
465.5217841657166,62849.380287807646,61655.55249080227,64703.42206714871
476.3651794908115,60849.96673530567,59657.45184340781,62684.614377158534
487.461149939511,58895.90972350833,57705.5643927782,60710.77955354187
498.81557874221954,56986.56036991316,55799.24707623083,58781.2503265471
510.434486167382,55121.28844490403,53937.87276617326,56895.38076634047
522.3240327135095,53299.48077204266,52120.82859447678,55052.54478117399
534.4905223755576,51520.53962557089,50347.51429317089,53252.13459677633
546.9404059873876,49783.88113339049,48617.340560916025,51493.55922372587
559.6802846420844,48088.93369421579,46929.72746487462,49776.24292013594
572.7169131919427,46435.136417886104,45284.102887664354,48099.62365749971
586.0572038299799,44821.93759802235,43679.901028970075,46463.15159796117
599.708229754872,43248.79322627785,42116.56097118357,44866.287591593355
613.677228921257,41715.165557370725,40593.52531806433,43308.501702493915
627.9716078773944,40220.521733899455,39110.238914933325,41789.271772594424
642.5989456922152,38764.332479624536,37666.1476582882,40308.08203206596
657.5669979738448,37346.07086945065,36260.69740199965,38864.42176505743
672.8837009817282,35965.2111837835,34893.332966409245,37457.78403922778
688.5571758345409,34621.2278542587,33563.49725573305,36087.664507153764
704.5957328161127,33313.594507063135,32270.63048817685,34753.56028717107
721.0078757816507,32041.783109215045,31014.169542129668,33454.96893060825
737.8023066665955,30805.263222235473,29793.547420723335,32191.38748164296
754.9879301005031,29603.50136666816,28608.192835963557,30962.311635223166
772.5738581283966,28435.96049989226,27457.529912561575,29767.234997621577
790.5694150420937,27302.099608651006,26340.978010553175,28605.64845327279
808.9841423240695,26201.373416705068,25257.951664802335,27477.039640588104
827.8278037064765,25133.232207036333,24207.860638567116,26380.8925384729
847.1103903480051,24097.121757091758,23190.110087477977,25316.687164307365
866.8421261313277,23092.483384693463,22204.100829554747,24283.899383211563
887.0334730839372,22118.754101458137,21249.229716289614,23282.0008275218
907.6951369252519,21175.36686989651,20324.89009935341,22310.458924574727
928.8380727429297,20261.750959802972,19430.472387162994,21368.737030146305
950.4734908014013,19377.332399121562,18565.364685379544,20456.294664245383
972.6128624856998,18521.5345141923,17728.953515404795,19572.587845425092
995.2679263837414,17693.778554155273,16920.624605108464,18717.069519371318
1018.45069451028,16893.48439432792,16139.763746366889,17889.190077263676
1042.1734586758366,16120.071313583016,15385.75771452256,17088.397959295035
1066.4487970039797,15372.958841148158,14657.995245596281,16314.140338790654
1091.2895806004128,14651.567668833155,13955.868068011903,15565.863882598916
1116.7089803774056,13955.320625478716,13278.771986730211,14843.01558383976
1142.7204740371853,13283.643711419098,12626.108019060077,14145.043663708513
